5.82	70.66	60.77	47.34	2293	9.81	2
3.29	89.26	56.41	81.97	1473	10.52	2
7.98	89.3	43.83	34.33	1894	10.3	2
1.91	92.77	61.05	50.57	1012	9.78	2
6.28	87.26	61.95	65.63	1354	7.75	2
6.81	78.56	56.35	41.83	1300	9.46	2
5.76	73.19	49.84	57.9	2492	13.96	3
7.04	98.03	49.56	32.12	1628	9.83	3
9.41	92.41	65.21	45.94	1465	9.15	3
26.77	91.37	68.73	39.27	1528	11.45	3
8.08	96.01	50.52	40.74	2721	11.54	3
17.63	95.36	60.18	36	2436	10.47	3
16.44	91.51	52.84	39.09	1464	13.39	3
16.05	89.78	74.62	51.45	3009	11.33	3
8.18	96.67	39.69	86.98	1139	9.13	4
11.52	93.24	44.22	40.28	2044	10.96	4
14.59	96.05	62.26	46.9	1986	12.94	4
10.23	79.88	58.77	35.09	2378	13.5	4
12.14	76.46	51.02	42.31	2415	15.11	4
14.63	70.23	47.2	34.19	1810	14.31	4
11.29	94.9	75.31	54.34	1229	12.04	4
7.77	93.29	35.07	51.78	1368	12.21	4
7.48	94.34	45.28	59.21	1689	11.25	4
13.14	84.63	42.3	31.98	3173	16.89	4
6.15	82.08	62.37	34.92	1249	7.77	5
15.5	90.23	68.16	44.75	1713	10.1	5
16.92	96.12	61.28	65.48	1254	11.96	5
6.77	91.57	71.62	70.12	1387	9.73	5
17.27	85.66	62.75	46.96	2265	12.27	5
5.24	90.22	58.6	67.13	1646	10.27	5
9.61	97.69	43.99	33.47	1371	10.07	5
16.23	90.11	51.7	47.57	2054	7.98	5
7.89	87.69	72.25	31.29	2358	10.6	5
17.4	88.37	46.51	59.1	2177	9.23	5
8.55	90.56	58.81	49.56	1721	12.38	5
14.31	95.53	33.56	46.15	640	7.5	6
17.26	99	11.04	25.91	686	11.95	6
6.44	97.83	8.58	35.55	926	8.21	6
3.25	97.92	18.06	15.16	657	12.33	6
1.62	99	48.88	22.95	462	10.61	6
3.87	99	26.14	41.02	637	11.15	6
7.54	97.35	49.98	24.78	563	10.3	6
9.19	99	19.01	27.13	956	11.4	6
5.9	97.7	53.44	36.42	441	10.2	6
3.99	85.95	47.36	34.89	963	9.35	6
5.55	94.02	32.64	22.19	633	10.11	6
16.61	95.02	16.83	57.63	460	10.22	6
13.81	91.94	41.12	39.73	1795	10.7	7
7.86	93.18	33.98	43.12	2663	11.12	7
16.85	97.57	59.46	39.1	2464	10.35	7
10.79	94.61	56.36	37.32	3447	11.05	7
13.08	96.61	31.75	48.16	1961	11.68	7
8.9	98.68	33.76	38.7	4395	9.15	7
17.4	95.77	36.96	58.36	2094	10.46	7
13.29	94.35	38.85	49.99	3810	10.16	7
9.26	95.72	43.79	51.48	3795	11.17	7
6.51	96.76	27.81	36.04	1620	12.84	7
14.02	95.95	44.03	29.01	2903	11.51	7
10.65	95.6	47.09	43.42	3403	9.64	7
22.64	99	21.92	26.09	888	11.94	7
15.14	96.38	46.01	53.69	1622	12.82	7
6.72	96.79	36.83	27.81	2453	9.05	8
4.57	95.99	33.56	32.38	2167	8.81	8
6.57	99	45.97	52.17	2078	9.62	8
4.78	96.87	35.97	45.14	1146	10.65	8
5.46	96.39	39.08	25.82	1856	9.64	8
3.43	91.61	54.42	45.43	1671	9.87	8
6.49	97.22	51.78	33.28	2886	9.67	8
4.04	97.72	44.78	56.04	914	9.85	8
12.58	79.65	47.84	85.95	1616	11.39	11
13.8	64.43	63.75	23.79	1067	11.81	11
15.45	56.28	96.01	45.67	1361	10.21	11
7.71	79.04	39.71	69.75	953	14.48	11
15.36	92.55	37.36	56.09	826	11.74	11
4.5	87.49	60.9	26.37	2128	9.3	25
2.67	57.9	52.15	32.66	2905	10.64	25
3.6	61.51	71.08	34.94	2880	8.96	25
5.47	88.29	58.56	38.57	4106	10.86	25
3.28	84.88	65.42	81.83	1773	6.66	25
5.2	88.9	56.42	42.26	2688	11.57	26
6.13	77.44	55.62	33.72	3836	9.62	26
6.66	90.12	48.47	42.8	2630	11.29	26
5.95	88.79	51.73	37.44	2925	11.79	26
6.58	94.24	60.21	34.42	3469	11.56	26
8.13	94.92	61.68	26.3	4728	11.27	26
4.66	90.51	57.85	34.45	2967	11.26	26
8.74	93.66	59.34	24.56	4129	11.58	26
7.91	94.69	44.28	43.59	2297	13.02	27
6.33	87.01	25.91	62.83	776	14.82	27
