     0.070     0.380     1.350     1.634    -1.047     0.041    -0.502     1.047    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237     0.000     0.000     0.190     0.423     0.000     0.000     0.000     0.001     0.000     0.000     0.000     0.000     0.000     0.000     0.002     0.383     1.000     4.000     4.000  11
    -0.674     1.817    -0.853     1.941    -2.635     1.105    -1.040     1.316    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237     0.000     0.000     0.614     0.000     0.000     0.000     0.001     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.384     0.001     1.000     3.000     3.000  11
     0.070    -0.488    -0.726     2.356    -3.486     3.263    -0.752     0.292    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237     0.000     0.000     0.614     0.000     0.000     0.000     0.001     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.385     0.000     1.000     3.000     3.000  11
     0.362     0.520     1.272     0.409    -1.111    -0.502    -1.152     3.024    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237     0.000     0.000     0.569     0.044     0.000     0.000     0.000     0.001     0.000     0.000     0.000     0.000     0.000     0.000     0.058     0.327     1.000     3.000     3.000  11
    -1.458     0.402    -0.044     2.333     0.299    -0.660    -1.276     1.271    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237     0.000     0.000     0.002     0.612     0.000     0.000     0.000     0.001     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.385     1.000     4.000     4.000  11
    -0.674     1.088    -0.073    -0.398    -0.229     0.915    -0.001    -0.290    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237     0.289     0.000     0.644     0.010     0.000     0.000     0.000     0.000     0.052     0.000     0.004     0.000     0.000     0.000     0.000     0.000     1.000     3.000     3.000  25
    -0.568     1.372    -0.346    -0.859    -3.317     0.329     0.761     0.567    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237     0.000     0.000     0.944     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.056     0.000     0.000     0.000     0.000     0.000     1.000     3.000     3.000  25
     0.242     1.560    -1.301    -0.625    -2.940     1.595     0.736    -0.508    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237     0.000     0.000     0.944     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.056     0.000     0.000     0.000     0.000     0.000     1.000     3.000     3.000  25
    -1.737     0.552    -0.736    -0.154    -0.145     0.758     1.938     0.708    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237     0.017     0.000     0.917     0.010     0.000     0.000     0.000     0.000     0.018     0.000     0.037     0.000     0.000     0.000     0.000     0.000     1.000     3.000     3.000  25
    -0.023    -0.901     2.042    -0.705    -0.501     1.217    -0.348    -1.980    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237    -0.334    -0.466    -0.005   -10.426    -1.883    -2.237     0.224     0.000     0.668     0.052     0.000     0.000     0.000     0.000     0.050     0.000     0.006     0.000     0.000     0.000     0.000     0.000     1.000     3.000     3.000  25
