     0.084     0.380     1.355    -1.435    -0.504     1.053    75.000    -0.660    -0.123     0.806   -18.293    -0.049   165.198    -0.660    -0.123     0.806   -18.293    -0.049   158.556     0.000     0.000     0.000     0.000     0.000     0.000     0.972     0.000     0.028     0.000     0.000     0.000     3.000     1.000     7.000  11
    -0.679     1.818    -0.855    -1.883    -1.042     1.322    76.000    -0.660    -0.123     0.806   -18.293    -0.049   158.849    -0.660    -0.123     0.806   -18.293    -0.049   158.556     0.000     0.000     0.000     0.000     0.000     0.000     0.999     0.000     0.001     0.000     0.000     0.000     3.000     1.000     7.000  11
     0.084    -0.489    -0.728    -1.518    -0.754     0.297    77.000    -0.660    -0.123     0.806   -18.293    -0.049   159.899    -0.660    -0.123     0.806   -18.293    -0.049   158.556     0.000     0.000     0.000     0.000     0.000     0.000     0.994     0.000     0.005     0.000     0.000     0.000     3.000     1.000     7.000  11
     0.384     0.520     1.276    -1.343    -1.154     3.031    78.000    -0.660    -0.123     0.806   -18.293    -0.049   158.902    -0.660    -0.123     0.806   -18.293    -0.049   158.556     0.000     0.000     0.000     0.000     0.000     0.000     0.999     0.000     0.001     0.000     0.000     0.000     3.000     1.000     7.000  11
    -1.483     0.402    -0.044    -0.931    -1.279     1.277    79.000    -0.660    -0.123     0.806   -18.293    -0.049   159.006    -0.660    -0.123     0.806   -18.293    -0.049   158.556     0.000     0.000     0.000     0.000     0.000     0.000     0.998     0.000     0.002     0.000     0.000     0.000     3.000     1.000     7.000  11
    -0.679     1.088    -0.073    -0.175    -0.002    -0.286   108.000    -0.660    -0.123     0.806   -18.293    -0.049   162.642    -0.660    -0.123     0.806   -18.293    -0.049   158.556     0.000     0.000     0.000     0.000     0.000     0.000     0.984     0.004     0.013     0.000     0.000     0.000     3.000     1.000     7.000  25
    -0.570     1.373    -0.347    -0.792     0.760     0.572   109.000    -0.660    -0.123     0.806   -18.293    -0.049   160.786    -0.660    -0.123     0.806   -18.293    -0.049   158.556     0.000     0.000     0.000     0.000     0.000     0.000     0.992     0.007     0.001     0.000     0.000     0.000     3.000     1.000     7.000  25
     0.261     1.561    -1.305    -1.451     0.735    -0.504   110.000    -0.660    -0.123     0.806   -18.293    -0.049   161.220    -0.660    -0.123     0.806   -18.293    -0.049   158.556     0.000     0.000     0.000     0.000     0.000     0.000     0.991     0.008     0.001     0.000     0.000     0.000     3.000     1.000     7.000  25
    -1.769     0.552    -0.738    -0.406     1.937     0.713   111.000    -0.660    -0.123     0.806   -18.293    -0.049   161.652    -0.660    -0.123     0.806   -18.293    -0.049   158.556     0.000     0.000     0.000     0.000     0.000     0.000     0.990     0.010     0.000     0.000     0.000     0.000     3.000     1.000     7.000  25
    -0.011    -0.902     2.049    -0.607    -0.350    -1.977   112.000    -0.660    -0.123     0.806   -18.293    -0.049   325.368    -0.660    -0.123     0.806   -18.293    -0.049   394.564     0.000     0.000     0.000     0.000     0.000     0.000     0.293     0.000     0.707     0.000     0.000     0.000     3.000     3.000     9.000  25
     2.277     2.108     1.482    -0.113    -0.119     0.194   996.000    -0.660    -0.123     0.806   -18.293    -0.049  1111.847    -0.660    -0.123     0.806   -18.293    -0.049  1138.516     0.033     0.034     0.850     0.000     0.007     0.075     0.000     0.000     0.000     0.000     0.000     0.000     1.000     3.000     3.000 102
    -0.611    -0.360     0.602     0.020    -0.443    -1.125   997.000    -0.660    -0.123     0.806   -18.293    -0.049  1112.966    -0.660    -0.123     0.806   -18.293    -0.049  1138.516     0.188     0.046     0.684     0.002     0.010     0.070     0.000     0.000     0.000     0.000     0.000     0.000     1.000     3.000     3.000 102
    -0.747     0.868    -0.435     0.483     1.022     0.194   998.000    -0.660    -0.123     0.806   -18.293    -0.049  1150.174    -0.660    -0.123     0.806   -18.293    -0.049  1212.814     0.407     0.504     0.007     0.003     0.079     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     2.000     2.000 102
     1.092    -0.467     0.015     1.060    -0.500    -1.259   999.000    -0.660    -0.123     0.806   -18.293    -0.049  1111.129    -0.660    -0.123     0.806   -18.293    -0.049  1138.516     0.127     0.025     0.767     0.001     0.005     0.076     0.000     0.000     0.000     0.000     0.000     0.000     1.000     3.000     3.000 102
    -1.809     1.271    -0.963     0.180     1.148    -0.754  1000.000    -0.660    -0.123     0.806   -18.293    -0.049  1145.988    -0.660    -0.123     0.806   -18.293    -0.049  1212.814     0.464     0.448     0.006     0.003     0.079     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     2.000     2.000 102
