     0.084     0.380     1.355    -1.435    -0.504     1.053     1.443     0.789     0.398     1.443     0.789     0.398     0.275     0.223     0.004     0.499     1.000     4.000     4.000  11
    -0.679     1.818    -0.855    -1.883    -1.042     1.322     1.443     0.789     0.398     1.443     0.789     0.398     0.014     0.040     0.013     0.933     1.000     4.000     4.000  11
     0.084    -0.489    -0.728    -1.518    -0.754     0.297     1.443     0.789     0.398     1.443     0.789     0.398     0.393     0.257     0.071     0.279     1.000     1.000     1.000  11
     0.384     0.520     1.276    -1.343    -1.154     3.031     1.443     0.789     0.398     1.443     0.789     0.398     0.006     0.160     0.000     0.833     1.000     4.000     4.000  11
    -1.483     0.402    -0.044    -0.931    -1.279     1.277     1.443     0.789     0.398     1.443     0.789     0.398     0.083     0.229     0.028     0.660     1.000     4.000     4.000  11
    -0.679     1.088    -0.073    -0.175    -0.002    -0.286     1.443     0.789     0.398     1.443     0.789     0.398     0.731     0.013     0.164     0.092     1.000     1.000     1.000  25
    -0.570     1.373    -0.347    -0.792     0.760     0.572     1.443     0.789     0.398     1.443     0.789     0.398     0.215     0.000     0.469     0.315     1.000     3.000     3.000  25
     0.261     1.561    -1.305    -1.451     0.735    -0.504     1.443     0.789     0.398     1.443     0.789     0.398     0.237     0.000     0.406     0.357     1.000     3.000     3.000  25
    -1.769     0.552    -0.738    -0.406     1.937     0.713     1.443     0.789     0.398     1.443     0.789     0.398     0.011     0.000     0.976     0.013     1.000     3.000     3.000  25
    -0.011    -0.902     2.049    -0.607    -0.350    -1.977     1.443     0.789     0.398     1.443     0.789     0.398     0.210     0.778     0.000     0.012     1.000     2.000     2.000  25
     2.277     2.108     1.482    -0.113    -0.119     0.194     1.443     0.789     0.398     1.443     0.789     0.398     0.574     0.380     0.007     0.038     1.000     1.000     1.000 102
    -0.611    -0.360     0.602     0.020    -0.443    -1.125     1.443     0.789     0.398     1.443     0.789     0.398     0.747     0.228     0.012     0.013     1.000     1.000     1.000 102
    -0.747     0.868    -0.435     0.483     1.022     0.194     1.443     0.789     0.398     1.443     0.789     0.398     0.390     0.000     0.604     0.006     1.000     3.000     3.000 102
     1.092    -0.467     0.015     1.060    -0.500    -1.259     1.443     0.789     0.398     1.443     0.789     0.398     0.640     0.350     0.010     0.000     1.000     1.000     1.000 102
    -1.809     1.271    -0.963     0.180     1.148    -0.754     1.443     0.789     0.398     1.443     0.789     0.398     0.321     0.000     0.646     0.033     1.000     3.000     3.000 102
     0.751     1.587     0.416     1.044    -0.804    -0.280     1.443     0.789     0.398     1.443     0.789     0.398     0.525     0.446     0.027     0.001     1.000     1.000     1.000 124
     0.956     0.622    -1.334    -0.808    -0.628     1.193     1.443     0.789     0.398     1.443     0.789     0.398     0.352     0.190     0.110     0.348     1.000     1.000     1.000 124
     1.378     0.048     0.201    -0.756    -0.780     0.137     1.443     0.789     0.398     1.443     0.789     0.398     0.505     0.387     0.060     0.047     1.000     1.000     1.000 124
    -0.148     0.123     0.015     0.617    -0.703     1.373     1.443     0.789     0.398     1.443     0.789     0.398     0.632     0.304     0.052     0.013     1.000     1.000     1.000 124
    -0.393     0.509    -0.464    -0.895    -0.224     1.398     1.443     0.789     0.398     1.443     0.789     0.398     0.267     0.020     0.098     0.616     1.000     4.000     4.000 124
     1.392     0.101    -0.014    -0.334    -0.037    -1.010     1.443     0.789     0.398     1.443     0.789     0.398     0.863     0.039     0.086     0.012     1.000     1.000     1.000 130
    -0.134     0.815    -0.982    -0.844     2.281    -0.926     1.443     0.789     0.398     1.443     0.789     0.398     0.002     0.000     0.998     0.001     1.000     3.000     3.000 130
    -0.774     0.311    -0.738     1.409    -1.056    -1.131     1.443     0.789     0.398     1.443     0.789     0.398     0.346     0.642     0.011     0.000     1.000     2.000     2.000 130
     1.065     0.209     0.348    -2.022     0.503    -0.741     1.443     0.789     0.398     1.443     0.789     0.398     0.732     0.002     0.146     0.120     1.000     1.000     1.000 130
     0.220     0.697     0.445    -1.487     1.035    -0.113     1.443     0.789     0.398     1.443     0.789     0.398     0.354     0.000     0.461     0.186     1.000     3.000     3.000 130
    -0.475    -0.140    -0.445    -0.617     1.514    -0.645     1.443     0.789     0.398     1.443     0.789     0.398     0.112     0.000     0.874     0.014     1.000     3.000     3.000 134
    -1.333     0.911    -0.611    -1.101     0.133     0.880     1.443     0.789     0.398     1.443     0.789     0.398     0.189     0.003     0.098     0.710     1.000     4.000     4.000 134
    -0.434     0.745    -0.611     1.096     1.226    -0.862     1.443     0.789     0.398     1.443     0.789     0.398     0.462     0.000     0.538     0.000     1.000     3.000     3.000 134
