     0.084     0.380     1.354    -1.436     1.051    -0.370     0.023     0.834     0.485     0.479    -0.601     0.023     0.834     0.485     0.479    -0.601     0.000     0.000     0.000     0.006     0.003     0.981     0.000     0.000     0.000     0.001     0.000     0.008     2.000     3.000     6.000   75  11
    -0.678     1.818    -0.856    -1.884     1.320    -0.698     0.023     0.834     0.485     0.479    -0.601     0.023     0.834     0.485     0.479    -0.601     0.000     0.000     0.000     0.002     0.007     0.981     0.000     0.000     0.000     0.001     0.000     0.009     2.000     3.000     6.000   76  11
     0.084    -0.489    -0.729    -1.518     0.296    -1.021     0.023     0.834     0.485     0.479    -0.601     0.023     0.834     0.485     0.479    -0.601     0.000     0.000     0.000     0.021     0.026     0.943     0.000     0.000     0.000     0.004     0.000     0.006     2.000     3.000     6.000   77  11
     0.384     0.520     1.276    -1.343     3.029    -1.127     0.023     0.834     0.485     0.479    -0.601     0.023     0.834     0.485     0.479    -0.601     0.000     0.000     0.000     0.001     0.002     0.987     0.000     0.000     0.000     0.000     0.000     0.010     2.000     3.000     6.000   78  11
    -1.481     0.402    -0.044    -0.932     1.275    -0.406     0.023     0.834     0.485     0.479    -0.601     0.023     0.834     0.485     0.479    -0.601     0.000     0.000     0.000     0.007     0.007     0.976     0.000     0.000     0.000     0.002     0.000     0.008     2.000     3.000     6.000   79  11
    -0.678     1.088    -0.074    -0.175    -0.286    -0.957     0.023     0.834     0.485     0.479    -0.601     0.023     0.834     0.485     0.479    -0.601     0.000     0.000     0.000     0.035     0.028     0.890     0.002     0.000     0.000     0.022     0.002     0.020     2.000     3.000     6.000  108  25
    -0.569     1.373    -0.347    -0.793     0.572    -0.911     0.023     0.834     0.485     0.479    -0.601     0.023     0.834     0.485     0.479    -0.601     0.000     0.000     0.000     0.009     0.015     0.928     0.002     0.000     0.000     0.009     0.002     0.033     2.000     3.000     6.000  109  25
     0.261     1.561    -1.306    -1.451    -0.504     0.613     0.023     0.834     0.485     0.479    -0.601     0.023     0.834     0.485     0.479    -0.601     0.000     0.000     0.000     0.000     0.065     0.887     0.000     0.002     0.000     0.001     0.008     0.036     2.000     3.000     6.000  110  25
    -1.767     0.552    -0.739    -0.407     0.712    -0.437     0.023     0.834     0.485     0.479    -0.601     0.023     0.834     0.485     0.479    -0.601     0.000     0.000     0.000     0.024     0.016     0.913     0.002     0.000     0.000     0.018     0.001     0.025     2.000     3.000     6.000  111  25
    -0.011    -0.902     2.048    -0.607    -1.976    -0.359     0.023     0.834     0.485     0.479    -0.601     0.023     0.834     0.485     0.479    -0.601     0.000     0.000     0.000     0.044     0.003     0.907     0.002     0.000     0.000     0.025     0.000     0.019     2.000     3.000     6.000  112  25
     2.276     2.108     1.481    -0.113     0.194    -0.324     0.023     0.834     0.485     0.479    -0.601     0.023     0.834     0.485     0.479    -0.601     0.002     0.003     0.000     0.002     0.002     0.020     0.801     0.022     0.000     0.108     0.008     0.033     3.000     1.000     7.000  996 102
    -0.610    -0.360     0.601     0.020    -1.124    -0.600     0.023     0.834     0.485     0.479    -0.601     0.023     0.834     0.485     0.479    -0.601     0.003     0.001     0.001     0.003     0.001     0.021     0.815     0.007     0.000     0.113     0.003     0.032     3.000     1.000     7.000  997 102
