     0.084     0.380     1.354    -1.436     1.051    -0.370    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.001     0.001     0.032     0.521     0.004     0.442     2.000     1.000     4.000   75  11
    -0.678     1.818    -0.856    -1.884     1.320    -0.698    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.001     0.006     0.026     0.689     0.015     0.263     2.000     1.000     4.000   76  11
     0.084    -0.489    -0.729    -1.518     0.296    -1.021    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.003     0.006     0.024     0.846     0.007     0.113     2.000     1.000     4.000   77  11
     0.384     0.520     1.276    -1.343     3.029    -1.127    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.001     0.004     0.029     0.528     0.014     0.425     2.000     1.000     4.000   78  11
    -1.481     0.402    -0.044    -0.932     1.275    -0.406    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.001     0.003     0.030     0.554     0.009     0.404     2.000     1.000     4.000   79  11
    -0.678     1.088    -0.074    -0.175    -0.286    -0.957    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.002     0.003     0.014     0.864     0.006     0.112     2.000     1.000     4.000  108  25
    -0.569     1.373    -0.347    -0.793     0.572    -0.911    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.001     0.004     0.014     0.799     0.012     0.171     2.000     1.000     4.000  109  25
     0.261     1.561    -1.306    -1.451    -0.504     0.613    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.005     0.013     0.000     0.095     0.886     2.000     3.000     6.000  110  25
    -1.767     0.552    -0.739    -0.407     0.712    -0.437    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.001     0.002     0.016     0.674     0.009     0.299     2.000     1.000     4.000  111  25
    -0.011    -0.902     2.048    -0.607    -1.976    -0.359    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.001     0.000     0.017     0.789     0.001     0.192     2.000     1.000     4.000  112  25
     2.276     2.108     1.481    -0.113     0.194    -0.324    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.001     0.013     0.173     0.213     0.012     0.587     2.000     3.000     6.000  996 102
    -0.610    -0.360     0.601     0.020    -1.124    -0.600    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.021     0.010     0.157     0.725     0.001     0.085     2.000     1.000     4.000  997 102
    -0.746     0.868    -0.435     0.484     0.194    -0.390    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.004     0.020     0.163     0.513     0.009     0.290     2.000     1.000     4.000  998 102
     1.092    -0.468     0.014     1.060    -1.259     0.054    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.016     0.172     0.051     0.018     0.743     2.000     3.000     6.000  999 102
    -1.808     1.271    -0.964     0.180    -0.753     0.031    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.022     0.166     0.060     0.025     0.727     2.000     3.000     6.000 1000 102
     0.751     1.587     0.415     1.045    -0.280    -0.172    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.001     0.019     0.162     0.189     0.019     0.611     2.000     3.000     6.000 1519 124
     0.956     0.622    -1.335    -0.808     1.192    -0.074    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.022     0.159     0.042     0.028     0.749     2.000     3.000     6.000 1520 124
     1.378     0.047     0.200    -0.757     0.136    -0.553    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.005     0.015     0.161     0.554     0.006     0.259     2.000     1.000     4.000 1521 124
    -0.147     0.123     0.014     0.617     1.371    -0.516    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.005     0.019     0.157     0.560     0.008     0.252     2.000     1.000     4.000 1522 124
    -0.392     0.509    -0.465    -0.896     1.397    -0.613    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.005     0.021     0.155     0.561     0.009     0.249     2.000     1.000     4.000 1523 124
     1.391     0.101    -0.015    -0.335    -1.009    -0.092    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.001     0.051     0.622     0.038     0.006     0.281     1.000     3.000     3.000 1635 130
    -0.134     0.815    -0.983    -0.844    -0.926     0.395    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.106     0.568     0.000     0.015     0.310     1.000     3.000     3.000 1636 130
    -0.773     0.310    -0.739     1.410    -1.131     0.073    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.001     0.062     0.612     0.029     0.008     0.288     1.000     3.000     3.000 1637 130
     1.064     0.208     0.347    -2.023    -0.740    -0.434    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.021     0.031     0.623     0.222     0.001     0.102     1.000     3.000     3.000 1638 130
     0.220     0.697     0.445    -1.487    -0.113     0.158    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.048     0.626     0.003     0.006     0.315     1.000     3.000     3.000 1639 130
    -0.474    -0.140    -0.445    -0.618    -0.644    -0.512    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.000     0.002     0.793     0.005     0.200     2.000     1.000     4.000 1670 134
    -1.332     0.911    -0.611    -1.101     0.879    -0.478    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.000     0.002     0.659     0.010     0.329     2.000     1.000     4.000 1671 134
    -0.433     0.745    -0.611     1.096    -0.862    -0.610    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.000     0.002     0.890     0.003     0.104     2.000     1.000     4.000 1672 134
     0.166    -0.500    -0.856    -0.113    -0.529    -0.449    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.000     0.002     0.722     0.009     0.267     2.000     1.000     4.000 1673 134
     0.016     0.160     0.357     0.401    -1.176    -0.997    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.000     0.002     0.919     0.003     0.076     2.000     1.000     4.000 1674 134
    -0.760    -0.022     0.298     1.971    -0.632    -0.490    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.000     0.000     0.931     0.001     0.068     2.000     1.000     4.000  418  62
     0.574     0.831     1.569     1.147    -1.412    -0.931    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.000     0.000     0.950     0.001     0.050     2.000     1.000     4.000  419  62
    -1.114     1.936    -0.279     0.365    -0.414    -0.719    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.000     0.000     0.848     0.009     0.143     2.000     1.000     4.000  420  62
     0.452    -0.221     0.190    -0.448    -2.308    -0.904    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.000     0.000     0.905     0.002     0.093     2.000     1.000     4.000  421  62
     0.806     0.874    -0.514     1.739    -1.355    -0.414    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.000     0.000     0.790     0.005     0.205     2.000     1.000     4.000  422  62
    -0.705     0.262     0.102     0.036    -1.099    -0.715    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.000     0.000     0.906     0.002     0.092     2.000     1.000     4.000  423  62
     0.098    -0.924     1.256     1.750     0.040     1.141    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.018     0.022     0.000     0.170     0.790     2.000     3.000     6.000  434  64
     0.983    -0.720    -1.081     0.972    -0.497    -0.480    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.002     0.005     0.033     0.760     0.007     0.192     2.000     1.000     4.000  435  64
     0.996    -0.940     0.396     1.358    -0.273     0.679    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.010     0.030     0.000     0.075     0.884     2.000     3.000     6.000  436  64
     1.840     0.917     1.618     1.163     0.975    -0.273    -0.580     0.321    -1.897    -0.580     0.321    -1.897     0.000     0.001     0.038     0.360     0.006     0.594     2.000     3.000     6.000  437  64
