     0.077     0.382     1.355    -1.425     1.053    -0.369     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.378     0.015     0.095     0.511     1.000     4.000     4.000   75  11
    -0.674     1.820    -0.855    -1.868     1.322    -0.693     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.486     0.024     0.015     0.475     1.000     1.000     1.000   76  11
     0.077    -0.487    -0.728    -1.507     0.297    -1.011     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.206     0.020     0.034     0.741     1.000     4.000     4.000   77  11
     0.373     0.521     1.277    -1.334     3.032    -1.117     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.339     0.032     0.037     0.592     1.000     4.000     4.000   78  11
    -1.466     0.403    -0.044    -0.926     1.277    -0.404     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.521     0.014     0.016     0.449     1.000     1.000     1.000   79  11
    -0.674     1.090    -0.073    -0.178    -0.286    -0.949     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.158     0.015     0.032     0.795     1.000     4.000     4.000  108  25
    -0.567     1.374    -0.347    -0.789     0.573    -0.903     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.277     0.019     0.020     0.684     1.000     4.000     4.000  109  25
     0.252     1.562    -1.305    -1.441    -0.503     0.602     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.853     0.130     0.017     0.000     1.000     1.000     1.000  110  25
    -1.748     0.554    -0.738    -0.407     0.713    -0.435     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.437     0.017     0.026     0.519     1.000     4.000     4.000  111  25
    -0.017    -0.900     2.049    -0.606    -1.977    -0.357     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.030     0.004     0.298     0.667     1.000     4.000     4.000  112  25
     2.238     2.109     1.482    -0.117     0.195    -0.323     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.112     0.027     0.859     0.003     1.000     3.000     3.000  996 102
    -0.607    -0.358     0.602     0.015    -1.125    -0.596     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.079     0.005     0.050     0.866     1.000     4.000     4.000  997 102
    -0.741     0.870    -0.435     0.474     0.195    -0.389     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.479     0.028     0.080     0.413     1.000     1.000     1.000  998 102
     1.070    -0.466     0.015     1.044    -1.259     0.050     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.321     0.047     0.629     0.002     1.000     3.000     3.000  999 102
    -1.788     1.272    -0.963     0.173    -0.753     0.028     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.836     0.059     0.090     0.015     1.000     1.000     1.000 1000 102
     0.735     1.589     0.416     1.029    -0.279    -0.173     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.429     0.054     0.495     0.021     1.000     3.000     3.000 1519 124
     0.936     0.623    -1.334    -0.804     1.194    -0.076     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.881     0.053     0.059     0.007     1.000     1.000     1.000 1520 124
     1.352     0.049     0.201    -0.753     0.137    -0.549     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.519     0.031     0.223     0.226     1.000     1.000     1.000 1521 124
    -0.151     0.125     0.015     0.606     1.373    -0.513     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.381     0.024     0.071     0.525     1.000     4.000     4.000 1522 124
    -0.393     0.511    -0.464    -0.891     1.399    -0.609     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.399     0.014     0.014     0.573     1.000     4.000     4.000 1523 124
     1.366     0.103    -0.014    -0.336    -1.009    -0.094     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.661     0.042     0.288     0.010     1.000     1.000     1.000 1635 130
    -0.138     0.816    -0.982    -0.840    -0.926     0.387     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.905     0.067     0.028     0.000     1.000     1.000     1.000 1636 130
    -0.768     0.312    -0.738     1.390    -1.131     0.069     0.239    -0.684    -0.445     0.239    -0.684    -0.445     0.505     0.064     0.420     0.011     1.000     1.000     1.000 1637 130
