     0.077     0.382     1.355    -1.425     1.053    -0.369    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242     0.001     0.000     0.000     0.000     0.000     0.000     0.558     0.003     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.004     0.433     0.001     2.000     3.000     7.000   75  11
    -0.674     1.820    -0.855    -1.868     1.322    -0.693    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242     0.001     0.000     0.000     0.000     0.002     0.000     0.558     0.001     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.037     0.400     0.000     2.000     3.000     7.000   76  11
     0.077    -0.487    -0.728    -1.507     0.297    -1.011    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242     0.001     0.000     0.000     0.000     0.001     0.000     0.554     0.006     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.029     0.407     0.002     2.000     3.000     7.000   77  11
     0.373     0.521     1.277    -1.334     3.032    -1.117    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242     0.001     0.000     0.000     0.000     0.000     0.000     0.561     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.005     0.432     0.000     2.000     3.000     7.000   78  11
    -1.466     0.403    -0.044    -0.926     1.277    -0.404    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242     0.001     0.000     0.000     0.000     0.000     0.000     0.559     0.001     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.012     0.426     0.000     2.000     3.000     7.000   79  11
    -0.674     1.090    -0.073    -0.178    -0.286    -0.949    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242     0.050     0.002     0.000     0.002     0.000     0.000     0.380     0.011     0.000     0.001     0.000     0.000     0.000     0.000     0.001     0.004     0.000     0.025     0.515     0.007     5.000     3.000    19.000  108  25
    -0.567     1.374    -0.347    -0.789     0.573    -0.903    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242     0.052     0.001     0.000     0.000     0.000     0.000     0.389     0.002     0.001     0.001     0.000     0.000     0.000     0.001     0.003     0.002     0.000     0.029     0.517     0.001     5.000     3.000    19.000  109  25
     0.252     1.562    -1.305    -1.441    -0.503     0.602    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242     0.035     0.018     0.000     0.001     0.000     0.000     0.386     0.006     0.000     0.001     0.000     0.000     0.000     0.004     0.001     0.001     0.000     0.276     0.269     0.002     5.000     3.000    19.000  110  25
    -1.748     0.554    -0.738    -0.407     0.713    -0.435    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242     0.053     0.000     0.000     0.000     0.001     0.000     0.386     0.005     0.001     0.000     0.000     0.000     0.000     0.001     0.002     0.003     0.000     0.035     0.509     0.003     5.000     3.000    19.000  111  25
    -0.017    -0.900     2.049    -0.606    -1.977    -0.357    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242    -0.490    -0.757    -1.202    -0.500   -12.519     2.179     3.242     0.000     0.001     0.000     0.052     0.000     0.000     0.350     0.042     0.000     0.000     0.001     0.000     0.000     0.000     0.000     0.006     0.000     0.001     0.518     0.027     5.000     3.000    19.000  112  25
