     0.084     0.380     1.354    -1.436     1.051    -0.370    -0.149    -1.053    -0.149    -1.053     0.617     0.036     0.347     1.000     1.000     1.000   75  11
    -0.678     1.818    -0.856    -1.884     1.320    -0.698    -0.149    -1.053    -0.149    -1.053     0.404     0.026     0.570     1.000     3.000     3.000   76  11
     0.084    -0.489    -0.729    -1.518     0.296    -1.021    -0.149    -1.053    -0.149    -1.053     0.694     0.021     0.285     1.000     1.000     1.000   77  11
     0.384     0.520     1.276    -1.343     3.029    -1.127    -0.149    -1.053    -0.149    -1.053     0.384     0.128     0.488     1.000     3.000     3.000   78  11
    -1.481     0.402    -0.044    -0.932     1.275    -0.406    -0.149    -1.053    -0.149    -1.053     0.347     0.016     0.638     1.000     3.000     3.000   79  11
    -0.678     1.088    -0.074    -0.175    -0.286    -0.957    -0.149    -1.053    -0.149    -1.053     0.715     0.021     0.265     1.000     1.000     1.000  108  25
    -0.569     1.373    -0.347    -0.793     0.572    -0.911    -0.149    -1.053    -0.149    -1.053     0.559     0.027     0.414     1.000     1.000     1.000  109  25
     0.261     1.561    -1.306    -1.451    -0.504     0.613    -0.149    -1.053    -0.149    -1.053     0.000     0.153     0.847     1.000     3.000     3.000  110  25
    -1.767     0.552    -0.739    -0.407     0.712    -0.437    -0.149    -1.053    -0.149    -1.053     0.440     0.015     0.545     1.000     3.000     3.000  111  25
    -0.011    -0.902     2.048    -0.607    -1.976    -0.359    -0.149    -1.053    -0.149    -1.053     0.940     0.028     0.032     1.000     1.000     1.000  112  25
     2.276     2.108     1.481    -0.113     0.194    -0.324    -0.149    -1.053    -0.149    -1.053     0.329     0.139     0.532     1.000     3.000     3.000  996 102
    -0.610    -0.360     0.601     0.020    -1.124    -0.600    -0.149    -1.053    -0.149    -1.053     0.861     0.010     0.129     1.000     1.000     1.000  997 102
    -0.746     0.868    -0.435     0.484     0.194    -0.390    -0.149    -1.053    -0.149    -1.053     0.440     0.021     0.539     1.000     3.000     3.000  998 102
