     0.084     0.380     1.354    -1.436     1.051    -0.370     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.000     0.000     0.000     0.003     0.977     0.006     0.000     0.012     0.002     0.000     0.000     0.000     0.000     0.000     0.000     2.000     2.000     5.000   75  11
    -0.678     1.818    -0.856    -1.884     1.320    -0.698     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.000     0.000     0.000     0.007     0.976     0.002     0.000     0.013     0.001     0.000     0.000     0.000     0.000     0.000     0.000     2.000     2.000     5.000   76  11
     0.084    -0.489    -0.729    -1.518     0.296    -1.021     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.000     0.000     0.000     0.027     0.940     0.019     0.000     0.009     0.004     0.000     0.000     0.000     0.000     0.000     0.000     2.000     2.000     5.000   77  11
     0.384     0.520     1.276    -1.343     3.029    -1.127     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.000     0.000     0.000     0.002     0.983     0.001     0.000     0.014     0.000     0.000     0.000     0.000     0.000     0.000     0.000     2.000     2.000     5.000   78  11
    -1.481     0.402    -0.044    -0.932     1.275    -0.406     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.000     0.000     0.000     0.007     0.972     0.006     0.000     0.012     0.002     0.000     0.000     0.000     0.000     0.000     0.000     2.000     2.000     5.000   79  11
    -0.678     1.088    -0.074    -0.175    -0.286    -0.957     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.000     0.000     0.002     0.032     0.876     0.039     0.001     0.025     0.023     0.000     0.000     0.000     0.000     0.000     0.001     2.000     2.000     5.000  108  25
    -0.569     1.373    -0.347    -0.793     0.572    -0.911     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.000     0.000     0.002     0.018     0.921     0.010     0.001     0.039     0.008     0.000     0.000     0.000     0.000     0.000     0.001     2.000     2.000     5.000  109  25
     0.261     1.561    -1.306    -1.451    -0.504     0.613     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.002     0.000     0.001     0.084     0.862     0.001     0.006     0.042     0.001     0.000     0.000     0.000     0.001     0.000     0.000     2.000     2.000     5.000  110  25
    -1.767     0.552    -0.739    -0.407     0.712    -0.437     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.000     0.000     0.002     0.018     0.906     0.024     0.001     0.031     0.017     0.000     0.000     0.000     0.000     0.000     0.001     2.000     2.000     5.000  111  25
    -0.011    -0.902     2.048    -0.607    -1.976    -0.359     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.701     1.118    -0.023    -0.065    -0.073    -9.604     0.000     0.000     0.002     0.002     0.899     0.046     0.000     0.024     0.025     0.000     0.000     0.000     0.000     0.000     0.001     2.000     2.000     5.000  112  25
