     0.077     0.382     1.355    -1.425     1.053    -0.369     1.505     1.585     1.392    -2.047   -14.114    -3.247     1.505     1.585     1.392    -2.047   -14.114    -3.247     0.000     0.017     0.267     0.002     0.000     0.232     0.190     0.001     0.070     0.206     0.000     0.013     0.000     0.000     0.001     0.001     2.000     3.000     7.000   75  11
    -0.674     1.820    -0.855    -1.868     1.322    -0.693     1.505     1.585     1.392    -2.047   -14.114    -3.247     1.505     1.585     1.392    -2.047   -14.114    -3.247     0.000     0.008     0.246     0.031     0.110     0.115     0.183     0.015     0.286     0.001     0.000     0.003     0.001     0.000     0.000     0.000     2.000     3.000     7.000   76  11
     0.077    -0.487    -0.728    -1.507     0.297    -1.011     1.505     1.585     1.392    -2.047   -14.114    -3.247     1.505     1.585     1.392    -2.047   -14.114    -3.247     0.000     0.075     0.187     0.024     0.017     0.356     0.046     0.004     0.268     0.017     0.000     0.004     0.001     0.000     0.000     0.001     2.000     2.000     6.000   77  11
     0.373     0.521     1.277    -1.334     3.032    -1.117     1.505     1.585     1.392    -2.047   -14.114    -3.247     1.505     1.585     1.392    -2.047   -14.114    -3.247     0.000     0.001     0.282     0.003     0.001     0.020     0.400     0.003     0.213     0.018     0.000     0.059     0.000     0.000     0.000     0.001     2.000     3.000     7.000   78  11
    -1.466     0.403    -0.044    -0.926     1.277    -0.404     1.505     1.585     1.392    -2.047   -14.114    -3.247     1.505     1.585     1.392    -2.047   -14.114    -3.247     0.000     0.016     0.254     0.015     0.032     0.213     0.172     0.006     0.280     0.006     0.000     0.004     0.001     0.000     0.000     0.001     2.000     3.000     7.000   79  11
    -0.674     1.090    -0.073    -0.178    -0.286    -0.949     1.505     1.585     1.392    -2.047   -14.114    -3.247     1.505     1.585     1.392    -2.047   -14.114    -3.247     0.000     0.009     0.018     0.001     0.005     0.407     0.042     0.002     0.400     0.104     0.000     0.011     0.000     0.000     0.000     0.000     3.000     2.000    10.000  108  25
    -0.567     1.374    -0.347    -0.789     0.573    -0.903     1.505     1.585     1.392    -2.047   -14.114    -3.247     1.505     1.585     1.392    -2.047   -14.114    -3.247     0.000     0.004     0.022     0.002     0.018     0.333     0.099     0.006     0.477     0.027     0.000     0.011     0.000     0.000     0.000     0.000     3.000     1.000     9.000  109  25
     0.252     1.562    -1.305    -1.441    -0.503     0.602     1.505     1.585     1.392    -2.047   -14.114    -3.247     1.505     1.585     1.392    -2.047   -14.114    -3.247     0.000     0.000     0.024     0.004     0.010     0.000     0.401     0.045     0.398     0.000     0.000     0.117     0.000     0.000     0.000     0.000     3.000     3.000    11.000  110  25
    -1.748     0.554    -0.738    -0.407     0.713    -0.435     1.505     1.585     1.392    -2.047   -14.114    -3.247     1.505     1.585     1.392    -2.047   -14.114    -3.247     0.000     0.003     0.023     0.003     0.076     0.266     0.105     0.009     0.506     0.006     0.000     0.004     0.000     0.000     0.000     0.000     3.000     1.000     9.000  111  25
    -0.017    -0.900     2.049    -0.606    -1.977    -0.357     1.505     1.585     1.392    -2.047   -14.114    -3.247     1.505     1.585     1.392    -2.047   -14.114    -3.247     0.000     0.010     0.019     0.000     0.000     0.416     0.040     0.000     0.001     0.513     0.000     0.001     0.000     0.000     0.000     0.000     3.000     2.000    10.000  112  25
     2.238     2.109     1.482    -0.117     0.195    -0.323     1.505     1.585     1.392    -2.047   -14.114    -3.247     1.505     1.585     1.392    -2.047   -14.114    -3.247     0.000     0.000     0.367     0.001     0.000     0.006     0.607     0.001     0.012     0.002     0.000     0.004     0.000     0.000     0.000     0.000     2.000     3.000     7.000  996 102
    -0.607    -0.358     0.602     0.015    -1.125    -0.596     1.505     1.585     1.392    -2.047   -14.114    -3.247     1.505     1.585     1.392    -2.047   -14.114    -3.247     0.000     0.205     0.160     0.003     0.000     0.589     0.024     0.000     0.004     0.014     0.000     0.000     0.000     0.000     0.000     0.000     2.000     2.000     6.000  997 102
    -0.741     0.870    -0.435     0.474     0.195    -0.389     1.505     1.585     1.392    -2.047   -14.114    -3.247     1.505     1.585     1.392    -2.047   -14.114    -3.247     0.000     0.051     0.293     0.025     0.028     0.446     0.133     0.007     0.017     0.001     0.000     0.000     0.000     0.000     0.000     0.000     2.000     2.000     6.000  998 102
     1.070    -0.466     0.015     1.044    -1.259     0.050     1.505     1.585     1.392    -2.047   -14.114    -3.247     1.505     1.585     1.392    -2.047   -14.114    -3.247     0.000     0.002     0.359     0.007     0.011     0.045     0.551     0.007     0.017     0.000     0.000     0.001     0.000     0.000     0.000     0.000     2.000     3.000     7.000  999 102
