     0.077     0.382     1.355    -1.425     1.053    -0.369    -0.190     0.309     8.700    12.305    11.658    -0.190     0.309     8.700    12.305    11.658     0.200     0.000     0.012     0.050     0.295     0.319     0.001     0.000     0.003     0.119     0.002     0.000     2.000     1.000     5.000   75  11
    -0.674     1.820    -0.855    -1.868     1.322    -0.693    -0.190     0.309     8.700    12.305    11.658    -0.190     0.309     8.700    12.305    11.658     0.002     0.000     0.002     0.257     0.241     0.346     0.026     0.002     0.002     0.090     0.032     0.000     2.000     2.000     6.000   76  11
     0.077    -0.487    -0.728    -1.507     0.297    -1.011    -0.190     0.309     8.700    12.305    11.658    -0.190     0.309     8.700    12.305    11.658     0.020     0.000     0.003     0.238     0.532     0.077     0.006     0.000     0.014     0.082     0.028     0.000     2.000     1.000     5.000   77  11
     0.373     0.521     1.277    -1.334     3.032    -1.117    -0.190     0.309     8.700    12.305    11.658    -0.190     0.309     8.700    12.305    11.658     0.045     0.000     0.042     0.174     0.069     0.542     0.005     0.000     0.000     0.118     0.005     0.000     2.000     2.000     6.000   78  11
    -1.466     0.403    -0.044    -0.926     1.277    -0.404    -0.190     0.309     8.700    12.305    11.658    -0.190     0.309     8.700    12.305    11.658     0.007     0.000     0.003     0.251     0.282     0.323     0.009     0.001     0.002     0.107     0.014     0.000     2.000     2.000     6.000   79  11
    -0.674     1.090    -0.073    -0.178    -0.286    -0.949    -0.190     0.309     8.700    12.305    11.658    -0.190     0.309     8.700    12.305    11.658     0.104     0.000     0.008     0.324     0.481     0.063     0.003     0.000     0.002     0.012     0.003     0.000     2.000     1.000     5.000  108  25
    -0.567     1.374    -0.347    -0.789     0.573    -0.903    -0.190     0.309     8.700    12.305    11.658    -0.190     0.309     8.700    12.305    11.658     0.032     0.000     0.009     0.396     0.405     0.133     0.009     0.000     0.001     0.012     0.004     0.000     2.000     1.000     5.000  109  25
     0.252     1.562    -1.305    -1.441    -0.503     0.602    -0.190     0.309     8.700    12.305    11.658    -0.190     0.309     8.700    12.305    11.658     0.000     0.000     0.096     0.340     0.000     0.487     0.059     0.000     0.000     0.011     0.006     0.000     2.000     2.000     6.000  110  25
    -1.748     0.554    -0.738    -0.407     0.713    -0.435    -0.190     0.309     8.700    12.305    11.658    -0.190     0.309     8.700    12.305    11.658     0.005     0.000     0.003     0.428     0.317     0.217     0.011     0.001     0.000     0.013     0.003     0.000     2.000     4.000     8.000  111  25
    -0.017    -0.900     2.049    -0.606    -1.977    -0.357    -0.190     0.309     8.700    12.305    11.658    -0.190     0.309     8.700    12.305    11.658     0.435     0.000     0.001     0.001     0.463     0.084     0.000     0.000     0.002     0.015     0.000     0.000     2.000     1.000     5.000  112  25
